,Pollutant,min,max,std,station_type,resample,station
129,CO - (mg/Nm3),4.571356691870833,273.7011538461133,57.662739178699624,coalgt300,24h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
130,NOx - (mg/Nm3),23.214,689.2377813852356,98.76763738602334,coalgt300,24h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
131,TSP - (mg/Nm3),5.556111111100001,184.14340277774582,24.96257706558697,coalgt300,24h,coalgt300_2. Du Lieu Trung Binh_Nhiệt điện Uông Bí MR2 330 MW 2023
132,SO2 - (mg/Nm3),229.06,256.88,3.8073103343897574,coalgt300,1h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
133,NOx - (mg/Nm3),56.5,67.13,1.4030846323917046,coalgt300,1h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
134,TSP - (mg/Nm3),54.13,58.2,0.6722446024313048,coalgt300,1h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
135,SO2 - (mg/Nm3),237.07,255.47,3.079845246399188,coalgt300,8h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
136,NOx - (mg/Nm3),56.98,65.39,1.262980929635548,coalgt300,8h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
137,TSP - (mg/Nm3),54.84,58.0625,0.6143336958304867,coalgt300,8h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
138,SO2 - (mg/Nm3),237.07,251.45823529411766,2.7026763200011956,coalgt300,24h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
139,NOx - (mg/Nm3),59.275000000000006,65.03529411764706,1.0624373866847119,coalgt300,24h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
140,TSP - (mg/Nm3),56.54,57.99791666666667,0.4344293200444067,coalgt300,24h,coalgt300_Quảng Ninh_ Nhiệt điện Đông Triều 1 (KT)_20240523_122043
141,TSP - (mg/Nm3),13.45,33.1916666666,3.969584458866305,tsp,1h,tsp_10. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 2 2023
142,TSP - (mg/Nm3),13.7660037878375,32.985101010066664,3.9653575543831776,tsp,8h,tsp_10. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 2 2023
143,TSP - (mg/Nm3),13.962184343399999,32.627083333274996,3.9094422509960185,tsp,24h,tsp_10. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 2 2023
144,TSP - (mg/Nm3),14.5499999999,35.0,3.3580973261274742,tsp,1h,tsp_11. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 1 2023
145,TSP - (mg/Nm3),15.0567234848375,34.51489898986667,3.346961583904509,tsp,8h,tsp_11. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 1 2023
146,TSP - (mg/Nm3),15.588005050483332,33.675649350600004,3.2726755942101358,tsp,24h,tsp_11. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 1 2023
147,TSP - (mg/Nm3),13.6,57.9333333333,8.38067703498646,tsp,1h,tsp_12. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 2 2023
148,TSP - (mg/Nm3),15.685416666625,56.727651515125004,8.265966005453933,tsp,8h,tsp_12. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 2 2023
149,TSP - (mg/Nm3),17.993844696929166,53.6711489898625,8.140579002730698,tsp,24h,tsp_12. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Xi 2 2023
150,TSP - (mg/Nm3),17.3,22.5545454545,0.8059238595193046,tsp,1h,tsp_5. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm Nguội Clinker 1 2023
151,TSP - (mg/Nm3),17.8396780302875,22.46363636363333,0.7990782790235581,tsp,8h,tsp_5. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm Nguội Clinker 1 2023
152,TSP - (mg/Nm3),18.014924242420836,22.46363636363333,0.7715955780762717,tsp,24h,tsp_5. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm Nguội Clinker 1 2023
153,TSP - (mg/Nm3),12.0499999999,42.9454545454,6.482439627503157,tsp,1h,tsp_6. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm nguội clinker 2 2023
154,TSP - (mg/Nm3),12.29375,40.733333333316665,6.404539098539016,tsp,8h,tsp_6. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm nguội clinker 2 2023
155,TSP - (mg/Nm3),12.334460678170833,38.02694805191428,6.335208097133601,tsp,24h,tsp_6. Du Lieu Trung Binh_Xi Măng Lam Thạch - Làm nguội clinker 2 2023
156,TSP - (mg/Nm3),10.0,21.4166666666,1.6773361930154145,tsp,1h,tsp_9. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 1 2023
157,TSP - (mg/Nm3),10.224999999975001,20.63333333325,1.611778488680974,tsp,8h,tsp_9. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 1 2023
158,TSP - (mg/Nm3),10.389015151491668,20.17142857137143,1.5675353708191972,tsp,24h,tsp_9. Du Lieu Trung Binh_Xi Măng Lam Thạch - Nghiền Than 1 2023
